Provinsi;Aceh;Sumatera Utara;Sumatera Barat;Riau;Jambi;Sumatera Selatan;Bengkulu;Lampung;Kepulauan Bangka Belitung;Kepulauan Riau;DKI Jakarta;Jawa Barat;Jawa Tengah;DI Yogyakarta;Jawa Timur;Banten;Bali;Nusa Tenggara Barat;Nusa Tenggara Timur;Kalimantan Barat;Kalimantan Tengah;Kalimantan Selatan;Kalimantan Timur;Kalimantan Utara;Sulawesi Utara;Sulawesi Tengah;Sulawesi Selatan;Sulawesi Tenggara;Gorontalo;Sulawesi Barat;Maluku;Maluku Utara;Papua Barat;Papua
Aceh;0;1;0;1;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sumatera Utara;1;0;1;1;1;1;0;1;1;1;1;1;0;1;1;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0
Sumatera Barat;0;1;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
Riau;1;0;1;0;1;1;1;0;0;1;1;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jambi;0;1;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sumatera Selatan;0;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bengkulu;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
Lampung;0;1;0;0;0;1;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Kepulauan Bangka Belitung;0;1;1;0;1;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kepulauan Riau;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
DKI Jakarta;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
Jawa Barat;0;1;0;1;0;1;0;1;0;1;1;0;1;1;1;0;1;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;1
Jawa Tengah;0;1;0;0;1;0;0;0;1;0;1;1;0;1;1;0;1;0;0;1;1;1;1;0;0;1;1;0;0;0;1;0;0;0
DI Yogyakarta;0;1;0;1;0;1;1;1;0;1;1;1;1;0;1;0;1;0;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0
Jawa Timur;0;1;1;1;0;1;0;1;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;0
Banten;0;0;1;0;1;0;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Bali;0;0;0;1;0;1;0;0;0;0;1;1;1;1;1;0;0;1;1;1;0;1;1;0;1;1;1;1;0;0;0;0;0;0
Nusa Tenggara Barat;1;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0
Nusa Tenggara Timur;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0;0;1;1;0;0;0;1;1;0;1;1;0;0;1
Kalimantan Barat;0;0;0;1;0;1;0;0;1;1;1;0;1;1;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1
Kalimantan Tengah;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0
Kalimantan Selatan;0;0;0;1;0;0;0;0;0;1;1;1;1;1;1;0;1;0;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0
Kalimantan Timur;0;0;1;0;0;0;1;0;0;1;1;1;1;1;1;0;1;0;0;1;1;1;0;1;1;1;1;0;0;1;1;0;0;0
Kalimantan Utara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;0;1;0;0;0;0;0;1;0
Sulawesi Utara;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;1;1;1;0;1;1;1;1;1;0;1;1;0;0
Sulawesi Tengah;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;0
Sulawesi Selatan;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1
Sulawesi Tenggara;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0
Gorontalo;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
Sulawesi Barat;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0
Maluku;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;1;1
Maluku Utara;0;1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0
Papua Barat;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;1
Papua;0;0;1;1;1;1;0;0;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1;0
